unique_protein_id_A,symbol_id_A,species_A,unique_protein_id_B,symbol_id_B,species_B,cell_line,hour,study,interaction_type
P63173,RPL38,homo sapien,P62851,RPS25,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,Q9UHX1,PUF60,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63173,RPL38,homo sapien,P62917,RPL8,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P62888,RPL30,homo sapien,P63173,RPL38,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63173,RPL38,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P63173,RPL38,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y3U8,RPL36,homo sapien,P63173,RPL38,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q9UBU9,NXF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P55795,HNRNPH2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61160,ACTR2,homo sapien,O15145,ARPC3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P28070,PSMB4,homo sapien,Q99460,PSMD1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15459,SF3A1,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13242,SRSF9,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00567,NOP56,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q15459,SF3A1,homo sapien,O75643,SNRNP200,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60900,PSMA6,homo sapien,Q16401,PSMD5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q9BUJ2,HNRNPUL1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P28070,PSMB4,homo sapien,O00232,PSMD12,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52597,HNRNPF,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q01130,SRSF2,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P38159,RBMX,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11940,PABPC1,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23246,SFPQ,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52597,HNRNPF,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q86V81,ALYREF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q16629,SRSF7,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P28070,PSMB4,homo sapien,Q16401,PSMD5,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00567,NOP56,homo sapien,P23396,RPS3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52597,HNRNPF,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23396,RPS3,homo sapien,P62987,UBA52,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52597,HNRNPF,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9BUJ2,HNRNPUL1,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P22626,HNRNPA2B1,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P22626,HNRNPA2B1,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P22626,HNRNPA2B1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P22626,HNRNPA2B1,homo sapien,P67809,YBX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9BUJ2,HNRNPUL1,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P22626,HNRNPA2B1,homo sapien,Q01130,SRSF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P53597,SUCLG1,homo sapien,Q9P2R7,SUCLA2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P35637,FUS,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P07910,HNRNPC,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q86V81,ALYREF,homo sapien,P67809,YBX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O75643,SNRNP200,homo sapien,P67809,YBX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60842,EIF4A1,homo sapien,Q15056,EIF4H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,O43390,HNRNPR,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X3,NOP58,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00567,NOP56,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P26373,RPL13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00567,NOP56,homo sapien,P61313,RPL15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62917,RPL8,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X3,NOP58,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P04844,RPN2,homo sapien,Q8TCJ2,STT3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P39656,DDOST,homo sapien,Q8TCJ2,STT3B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92841,DDX17,homo sapien,Q08211,DHX9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P61313,RPL15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P19338,NCL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q16629,SRSF7,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62829,RPL23,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P84103,SRSF3,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P83731,RPL24,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92841,DDX17,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q07955,SRSF1,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00567,NOP56,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P06748,NPM1,homo sapien,P83731,RPL24,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,O00567,NOP56,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11940,PABPC1,homo sapien,O75643,SNRNP200,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q07955,SRSF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P06748,NPM1,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P61313,RPL15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P83731,RPL24,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,P06748,NPM1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P38159,RBMX,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,O60506,SYNCRIP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P62917,RPL8,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X3,NOP58,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00567,NOP56,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P06748,NPM1,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P23246,SFPQ,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9HCE1,MOV10,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q13148,TARDBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q08211,DHX9,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P23396,RPS3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,P67809,YBX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9HCE1,MOV10,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P23396,RPS3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23246,SFPQ,homo sapien,Q16629,SRSF7,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O60506,SYNCRIP,homo sapien,Q12906,ILF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,Q9HCE1,MOV10,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P23246,SFPQ,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P11940,PABPC1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P62995,TRA2B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,Q13148,TARDBP,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,P78527,PRKDC,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P19338,NCL,homo sapien,P26599,PTBP1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P56537,EIF6,homo sapien,Q9Y2X3,NOP58,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P49756,RBM25,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y3I0,RTCB,homo sapien,Q92499,DDX1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O96008,TOMM40,homo sapien,O94826,TOMM70,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52597,HNRNPF,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9BUJ2,HNRNPUL1,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P38159,RBMX,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61978,HNRNPK,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P26599,PTBP1,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60842,EIF4A1,homo sapien,P23588,EIF4B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O43390,HNRNPR,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P24534,EEF1B2,homo sapien,P15880,RPS2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,P22626,HNRNPA2B1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q13151,HNRNPA0,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,P14866,HNRNPL,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,P62917,RPL8,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14103,HNRNPD,homo sapien,P51991,HNRNPA3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q92900,UPF1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11940,PABPC1,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q13151,HNRNPA0,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,O60841,EIF5B,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P29692,EEF1D,homo sapien,P61313,RPL15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14152,EIF3A,homo sapien,Q15056,EIF4H,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q99613,EIF3C,homo sapien,P62701,RPS4X,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60842,EIF4A1,homo sapien,P62917,RPL8,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P14866,HNRNPL,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P60842,EIF4A1,homo sapien,P62854,RPS26,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q8N684,CPSF7,homo sapien,P09651,HNRNPA1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11940,PABPC1,homo sapien,P26373,RPL13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14978,NOLC1,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14978,NOLC1,homo sapien,O00567,NOP56,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P11940,PABPC1,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,Q15459,SF3A1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q00839,HNRNPU,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q14978,NOLC1,homo sapien,P61313,RPL15,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,P62277,RPS13,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P52272,HNRNPM,homo sapien,Q02878,RPL6,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,P52597,HNRNPF,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P61313,RPL15,homo sapien,P26368,U2AF2,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P31943,HNRNPH1,homo sapien,Q9UKM9,RALY,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92499,DDX1,homo sapien,P52272,HNRNPM,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00571,DDX3X,homo sapien,Q14498,RBM39,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q12906,ILF3,homo sapien,P35268,RPL22,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O14979,HNRNPDL,homo sapien,P31943,HNRNPH1,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
P17844,DDX5,homo sapien,P38159,RBMX,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q9Y2X3,NOP58,homo sapien,P62263,RPS14,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
O00571,DDX3X,homo sapien,Q13242,SRSF9,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
Q92841,DDX17,homo sapien,P84103,SRSF3,homo sapien,-,-,"psi-mi:""MI:0463""(biogrid)",Protein Protein
